employeeId,role,hour,failedLogins,downloads,country,device,vpn,usbInserted,adminAction
EMP00000,EMPLOYEE,11,1,8,USA,Linux,0,0,0
EMP00001,MANAGER,8,0,3,UK,Linux,0,0,0
EMP00002,EMPLOYEE,10,2,11,USA,Mac,0,0,0
EMP00003,MANAGER,10,2,25,USA,Linux,0,0,0
EMP00004,EMPLOYEE,11,1,7,China,Linux,0,0,0
EMP00005,EMPLOYEE,11,0,16,UK,Linux,0,0,0
EMP00006,EMPLOYEE,4,2,7,China,Linux,0,0,0
EMP00007,EMPLOYEE,11,8,25,Russia,Mac,0,0,0
EMP00008,EMPLOYEE,14,0,13,UK,Windows,0,0,0
EMP00009,EMPLOYEE,9,2,20,UK,Linux,0,0,0
EMP00010,EMPLOYEE,14,0,24,Russia,Mac,0,1,0
EMP00011,EMPLOYEE,9,2,24,Russia,Mac,0,0,0
EMP00012,MANAGER,10,0,21,USA,Mac,0,0,0
EMP00013,EMPLOYEE,11,2,14,UK,Windows,1,0,0
EMP00014,EMPLOYEE,15,0,29,Russia,Linux,0,0,0
EMP00015,MANAGER,18,2,30,India,Windows,0,0,0
EMP00016,EMPLOYEE,10,2,11,USA,Windows,0,0,0
EMP00017,EMPLOYEE,11,1,28,China,Linux,0,0,0
EMP00018,EMPLOYEE,11,1,19,USA,Linux,0,0,0
EMP00019,EMPLOYEE,13,1,21,Russia,Linux,0,0,0
EMP00020,MANAGER,8,1,18,UK,Mac,0,0,0
EMP00021,EMPLOYEE,9,2,3,India,Windows,0,0,0
EMP00022,EMPLOYEE,14,0,3,UK,Mac,0,0,0
EMP00023,EMPLOYEE,10,1,7,Russia,Windows,0,0,0
EMP00024,EMPLOYEE,18,10,28,China,Linux,0,0,0
EMP00025,EMPLOYEE,17,2,4,UK,Mac,0,0,0
EMP00026,EMPLOYEE,16,2,7,India,Linux,0,0,0
EMP00027,EMPLOYEE,18,2,165,China,Linux,0,0,0
EMP00028,EMPLOYEE,8,2,25,Russia,Mac,0,0,0
EMP00029,EMPLOYEE,11,1,1,Russia,Windows,0,0,0
EMP00030,EMPLOYEE,12,1,15,Russia,Linux,0,0,0
EMP00031,EMPLOYEE,3,0,9,Russia,Linux,0,0,0
EMP00032,EMPLOYEE,18,11,14,India,Mac,0,0,0
